	onset	duration	trial_type	body_site	temp
0	2.7846275999909267	1.966344200016465	3-cue	Abdomen	
1	4.750971800007392	11.019800161884632	3-trial	Abdomen	
2	15.763193599996157	13.009293060051277	1	Abdomen	46.0
3	28.76356609998038	13.008748959982768	4		
4	41.76259699999355	13.010839660011698	1	Abdomen	46.0
5	54.762888199999	1.9831571000395343	3-cue	Abdomen	
6	56.74604530003853	11.010656160011422	3-trial	Abdomen	
7	67.74701229995117	13.009125759999733	4		
8	80.74557909998111	13.012206259998493	2	Abdomen	36.5
9	93.7460129999672	1.9831312000169419	3-cue	Abdomen	
10	95.72914419998415	11.011735660023987	3-trial	Abdomen	
11	106.73134539998136	1.983146799961105	3-cue	Abdomen	
12	108.71449219994247	11.007923160039354	3-trial	Abdomen	
13	119.71372770000016	13.009866760054138	2	Abdomen	36.5
14	132.71336609998252	1.9832750000059605	3-cue	Abdomen	
15	134.69664109998848	11.010777259944007	3-trial	Abdomen	
16	145.6979964999482	13.008346059999894	1	Abdomen	46.0
17	158.69788409996545	1.9830916000064462	3-cue	Abdomen	
18	160.6809756999719	11.009088860009797	3-trial	Abdomen	
19	171.68089019996114	13.00963025999954	1	Abdomen	46.0
20	184.68008809996536	1.9832302000140771	3-cue	Abdomen	
21	186.66331829997944	11.011554159980733	3-trial	Abdomen	
22	197.66566179995425	1.9831694000167772	3-cue	Abdomen	
23	199.64883119997103	11.007405359996483	3-trial	Abdomen	
24	210.64822579995962	13.008980459999293	2	Abdomen	36.5
25	223.64769489999162	13.010246060031932	4		
26	236.64831139997113	13.00923436001176	4		
27	249.6477487999946	13.010597660031635	1	Abdomen	46.0
28	262.64843319996726	13.009430659934878	4		
29	275.6477880999446	13.01095195999369	2	Abdomen	36.5
30	288.64779239997733	13.011104059929494	4		
31	301.64837779995287	13.010110159986652	4		
32	314.64798019995214	13.011114959954284	2	Abdomen	36.5
33	327.6486785999732	1.983136499999091	3-cue	Abdomen	
34	329.6318150999723	11.01014295994537	3-trial	Abdomen	
35	340.63317279994953	13.007842560007703	1	Abdomen	46.0
36	353.63208769995254	13.010201960045379	4		
37	366.6326046999893	13.009374859975651	4		
38	379.6321764999884	13.01043025997933	1	Abdomen	46.0
39	392.63290089997463	1.9831314000184648	3-cue	Abdomen	
40	394.6160322999931	11.00937325990526	3-trial	Abdomen	
41	405.6169349999982	13.007982460025232	2	Abdomen	36.5
42	418.61578429996734	1.983156499976758	3-cue	Abdomen	
43	420.5989407999441	11.010700260056183	3-trial	Abdomen	
44	431.6008780999691	13.007202759967186	4		
45	444.598688099999	13.011768160038628	2	Abdomen	36.5
46	457.6006972999894	1.9832608999568038	3-cue	Abdomen	
47	459.5839581999462	11.008061860105954	3-trial	Abdomen	
48	470.5843977999757	13.007476359955035	2	Abdomen	36.5
49	483.5838221999584	13.008825559983961	4		
50	496.5832269999664	13.010208759980742	1	Abdomen	46.0
51	509.5829028999433	13.011044359998778	4		
52	Valence Rating:	-5.308641975308646			
53	Intensity Rating:	15.123456790123457			
54	Comfort Rating:	61.04938271604938			
