runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,28.330066700000316,None,space,0.854039000114426,28.330066700000316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,0,0,0,,,,,,,29.2725437998306,29.2725437998306,None,space,464.3914845001418,29.2725437998306,None,493.6930126999505,space,26.818844699999318,493.6930126999505,None,538.8100283998065,540.8101674998179,538.8100283998065,540.8101674998179,540.7933624999132,None,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,2,2,2,,,,,,,,,,,,,,,,,,,564.7937576998957,566.7938808000181,564.7937576998957,566.7938808000181,566.7769223998766,564.7937576998957,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,7,7,7,,,,,,,,,,,,,,,,,,,629.777725599939,631.7777421998326,629.777725599939,631.7777421998326,631.7607787998859,629.777725599939,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,11,11,11,,,,,,,,,,,,,,,,,,,681.7614431998227,683.7615053998306,681.7614431998227,683.7615053998306,683.744532499928,681.7614431998227,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,13,13,13,,,,,,,,,,,,,,,,,,,707.7449766998179,709.7450711999554,707.7449766998179,709.7450711999554,709.7280813998077,707.7449766998179,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,16,16,16,,,,,,,,,,,,,,,,,,,746.7286397998687,748.7287148998585,746.7286397998687,748.7287148998585,748.7117327998858,746.7286397998687,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,20,20,20,,,,,,,,,,,,,,,,,,,798.71243710001,800.7124875998124,798.71243710001,800.7124875998124,800.6954878999386,798.71243710001,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,25,25,25,,,,,,,,,,,,,,,,,,,863.6960467000026,865.6963233000133,863.6960467000026,865.6963233000133,865.6793907999527,863.6960467000026,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,31,31,31,,,,,,,,,,,,,,,,,,,941.6802623998374,943.6803215998225,941.6802623998374,943.6803215998225,943.6633721999824,941.6802623998374,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,33,33,33,,,,,,,,,,,,,,,,,,,967.6637942998204,969.6638775998726,967.6637942998204,969.6638775998726,969.6469207999762,967.6637942998204,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,34,34,34,,,,,,,,,,,,,,,,,,,980.6472443998791,982.6473292999435,980.6472443998791,982.6473292999435,982.630377799971,980.6472443998791,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,3,0,0,0,2,0,39,39,39,,,,,,,,,,,,,,,,,,,1045.6311050998047,1047.6311766,1045.6311050998047,1047.6311766,1047.614126099972,1045.6311050998047,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.296296296296305,1066.5126727898605,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013100309995934367,10.00973570998758,34.19753086419753,1075.7282479899004,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder5.xlsx,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014237110037356615,None,56.04938271604939,1080.245251090033,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder3.xlsx,3,0,1,1,1,0,4,4,4,,,,,,,1086.2145551999565,1086.2145551999565,None,space,106.6504368998576,1086.2145551999565,None,,,,,,1257.9994216000196,1259.999626299832,1257.9994216000196,1259.999626299832,1259.9826481998898,1257.9994216000196,,,,,,,,,,,0.01392370997928083,None,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder3.xlsx,3,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,1283.983087999979,1285.9831881998107,1283.983087999979,1285.9831881998107,1285.9662107999902,1283.983087999979,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder3.xlsx,3,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,1348.967048099963,1350.9670277999248,1348.967048099963,1350.9670277999248,1350.9500892998185,1348.967048099963,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder3.xlsx,3,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,,,,,1452.951223099837,1454.9512648999225,1452.951223099837,1454.9512648999225,1454.9342912998982,1452.951223099837,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder3.xlsx,3,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,,,,,1465.9345880998299,1467.9346820998471,1465.9345880998299,1467.9346820998471,1467.9177045999095,1465.9345880998299,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder3.xlsx,3,0,1,1,1,0,22,22,22,,,,,,,,,,,,,,,,,,,1491.9181654998101,1493.918269699905,1491.9181654998101,1493.918269699905,1493.9012913999613,1491.9181654998101,,,,,,,,,,,,,,,,,,,7,f,1,6,r,MCK,2022_Jan_05_1211,2020.2.5,bodymapST1,59.978755600403595,"['Abdomen', 'Right Face', 'Left Face', 'Right Arm']",
