	onset	duration	trial_type	body_site	temp
0	2722.187673599925	12.0	2.0	Abdomen	43.5
1	2739.7544145998545	12.0	5.0	Abdomen	
2	2755.754496899899	12.0	3.0	Abdomen	46.5
3	2771.7546057999134	12.0	7.0		
4	2789.2214832999744	12.0	6.0	Abdomen	
5	2805.2215173998848	12.0	4.0	Abdomen	43.5
6	2822.6717377998866	12.0	7.0		
7	2838.6717583998106	12.0	4.0	Abdomen	43.5
8	2856.1219909996726	12.0	7.0		
9	2872.122013199609	12.0	1.0	Abdomen	46.5
10	2889.571902900003	12.0	7.0		
11	2905.5722506996244	12.0	4.0	Abdomen	43.5
12	2923.0221906998195	12.0	5.0	Abdomen	
13	2939.0225090999156	12.0	1.0	Abdomen	46.5
14	2956.4727008999325	12.0	6.0	Abdomen	
15	2972.4727576998994	12.0	2.0	Abdomen	43.5
16	2989.9563055997714	12.0	6.0	Abdomen	
17	3005.9563174997456	12.0	4.0	Abdomen	43.5
18	3023.40653079981	12.0	5.0	Abdomen	
19	3039.406561699696	12.0	1.0	Abdomen	46.5
20	3056.8729336997494	12.0	5.0	Abdomen	
21	3072.8734836997464	12.0	3.0	Abdomen	46.5
22	3090.407002199907	12.0	5.0	Abdomen	
23	3106.4070591996424	12.0	2.0	Abdomen	43.5
24	3123.873922899831	12.0	6.0	Abdomen	
25	3139.873975499999	12.0	2.0	Abdomen	43.5
26	3157.3075395999476	12.0	7.0		
27	3173.3075673999265	12.0	3.0	Abdomen	46.5
28	3190.757738699671	12.0	7.0		
29	3206.7577924998477	12.0	1.0	Abdomen	46.5
30	3224.2245546998456	12.0	7.0		
31	3240.2247146000154	12.0	3.0	Abdomen	46.5
32	3257.708296000026	12.0	6.0	Abdomen	
33	3273.7082979995757	12.0	3.0	Abdomen	46.5
34	3291.175166799687	12.0	6.0	Abdomen	
35	3307.175211200025	12.0	4.0	Abdomen	43.5
36	3324.6254240996204	12.0	5.0	Abdomen	
37	3340.6254595997743	12.0	4.0	Abdomen	43.5
38	Valence Rating:	-11.028806584362144			
39	Intensity Rating:	28.35390946502058			
40	Comfort Rating:	64.81481481481481			
