	onset	duration	trial_type	body_site	temp
0	2.766417199978605	12.98703059903346	4		
1	15.769445100100711	13.014441279927269	1	Left Face	48.0
2	28.7889572000131	1.9833194001112133	3-cue	Left Face	
3	30.772276600124314	11.008995660115033	3-trial	Left Face	
4	41.77338310005143	1.9829643000848591	3-cue	Left Face	
5	43.75634740013629	11.007390580140054	3-trial	Left Face	
6	54.75517929997295	13.010306080337614	1	Left Face	48.0
7	67.75576810003258	13.00936687993817	4		
8	80.75456920010038	13.01199388015084	2	Left Face	37.0
9	93.75548020005226	1.982972800033167	3-cue	Left Face	
10	95.73845300008543	11.01075817993842	3-trial	Left Face	
11	106.73980120010674	13.00865028006956	1	Left Face	48.0
12	119.73927200003527	1.9829752000514418	3-cue	Left Face	
13	121.72224720008671	11.010299080051482	3-trial	Left Face	
14	132.72329049999826	1.9829641999676824	3-cue	Left Face	
15	134.70625469996594	11.00916958018206	3-trial	Left Face	
16	145.7068084999919	13.0086485799402	2	Left Face	37.0
17	158.70660259993747	1.9829660998657346	3-cue	Left Face	
18	160.6895686998032	11.00963938026689	3-trial	Left Face	
19	171.6898751000408	13.009641580050811	2	Left Face	37.0
20	184.68870689999312	13.012217479990795	4		
21	197.69045110000297	1.9829432999249548	3-cue	Left Face	
22	199.67339439992793	11.009242980042472	3-trial	Left Face	
23	210.67405249993317	13.008549380348995	1	Left Face	48.0
24	223.67264100001194	13.011693980079144	4		
25	236.67388330004178	13.009434680221602	4		
26	249.67311309999786	13.011203180067241	1	Left Face	48.0
27	262.67308779992163	13.011479180073366	4		
28	275.6735821000766	13.010713080177084	4		
29	288.67294749990106	13.012216580100358	2	Left Face	37.0
30	301.6742191000376	13.009908580221236	4		
31	314.673614700092	13.011344680329785	1	Left Face	48.0
32	327.67422230006196	13.01037428015843	4		
33	340.67400959995575	13.011009379988536	2	Left Face	37.0
34	353.6741732999217	13.010909480042756	4		
35	366.6745239999145	13.010446180123836	4		
36	379.67414160002954	13.011447279946879	2	Left Face	37.0
37	392.6747522999067	1.9829538001213223	3-cue	Left Face	
38	394.657706100028	11.010856280103326	3-trial	Left Face	
39	405.6596309999004	13.007608080049977	4		
40	418.65819650003687	13.010663180146366	1	Left Face	48.0
41	431.6591232998762	1.9829605999402702	3-cue	Left Face	
42	433.6420838998165	11.009404180338606	3-trial	Left Face	
43	444.6425526998937	13.009088580030948	1	Left Face	48.0
44	457.64242199994624	1.982977099949494	3-cue	Left Face	
45	459.62539909989573	11.009930480271578	3-trial	Left Face	
46	470.6263484999072	13.00868658022955	2	Left Face	37.0
47	483.6263077999465	1.9829681999981403	3-cue	Left Face	
48	485.60927599994466	11.009348580148071	3-trial	Left Face	
49	496.6096411999315	13.009151180041954	2	Left Face	37.0
50	509.60903290007263	1.9829640998505056	3-cue	Left Face	
51	511.59199699992314	11.010964380344376	3-trial	Left Face	
52	Valence Rating:	-15.06172839506172			
53	Intensity Rating:	33.2716049382716			
54	Comfort Rating:	69.1358024691358			
