runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,74.70740649988875,None,space,1.5528092002496123,74.70740649988875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,0,0,0,,,,,,,76.39219360006973,76.39219360006973,None,space,1115.0376768000424,76.39219360006973,None,1191.451555099804,space,86.75408730003983,1191.451555099804,None,1291.5527635002509,1293.5526343001984,1291.5527635002509,1293.5526343001984,1293.5357880000956,None,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,5,5,5,,,,,,,,,,,,,,,,,,,1356.5366915999912,1358.5366814997979,1356.5366915999912,1358.5366814997979,1358.519695899915,1356.5366915999912,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,10,10,10,,,,,,,,,,,,,,,,,,,1421.5199652002193,1423.5205362001434,1421.5199652002193,1423.5205362001434,1423.503584700171,1421.5199652002193,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,14,14,14,,,,,,,,,,,,,,,,,,,1473.5041677001864,1475.5043132002465,1473.5041677001864,1475.5043132002465,1475.4873679000884,1473.5041677001864,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,16,16,16,,,,,,,,,,,,,,,,,,,1499.48786689993,1501.4879089002497,1499.48786689993,1501.4879089002497,1501.4709365000017,1499.48786689993,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,18,18,18,,,,,,,,,,,,,,,,,,,1525.4714860999957,1527.4711457998492,1525.4714860999957,1527.4711457998492,1527.4544847002253,1525.4714860999957,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,19,19,19,,,,,,,,,,,,,,,,,,,1538.454584899824,1540.454607900232,1538.454584899824,1540.454607900232,1540.4379369001836,1538.454584899824,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,21,21,21,,,,,,,,,,,,,,,,,,,1564.4384041000158,1566.4381547002122,1564.4384041000158,1566.4381547002122,1566.421497900039,1564.4384041000158,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,22,22,22,,,,,,,,,,,,,,,,,,,1577.4215711001307,1579.421566199977,1577.4215711001307,1579.421566199977,1579.4049366000108,1577.4215711001307,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,24,24,24,,,,,,,,,,,,,,,,,,,1603.4054423002526,1605.4051573998295,1603.4054423002526,1605.4051573998295,1605.3885087999515,1603.4054423002526,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,26,26,26,,,,,,,,,,,,,,,,,,,1629.388973900117,1631.388724999968,1629.388973900117,1631.388724999968,1631.3720626002178,1629.388973900117,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,3,0,0,0,1,0,35,35,35,,,,,,,,,,,,,,,,,,,1746.3733128001913,1748.3730569998734,1746.3733128001913,1748.3730569998734,1748.3564075999893,1746.3733128001913,,,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
stimuli/orders/stimOrder11.xlsx,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1798.356817100197,1798.356817100197,-16.419753086419746,1812.5805117604323,,,,,,,,,,,,,,,,,5,m,2,2,r,CIB,2021_Jun_08_1312,2020.2.5,bodymapST2,59.99732400118956,"['Left Leg', 'Right Face', 'Chest', 'Left Face']",
