	onset	duration	trial_type	body_site	temp
0	2.791668999940157	1.9832512999419123	3-cue	Right Face	
1	4.774920299882069	11.009133390849456	3-trial	Right Face	
2	15.77412709989585	13.00921946996823	1	Right Face	49.0
3	28.77375809988007	1.9830489999148995	3-cue	Right Face	
4	30.75680709979497	11.010487670078874	3-trial	Right Face	
5	41.75750089995563	13.009613570058718	2	Right Face	37.0
6	54.75678769988008	13.011210170108825	4		
7	67.75665549980476	13.011726469965652	1	Right Face	49.0
8	80.75645959982648	13.012467170134187	4		
9	93.75845189997926	1.9822011000942439	3-cue	Right Face	
10	95.74065300007351	11.009881869889796	3-trial	Right Face	
11	106.74199909996241	13.008555870037526	1	Right Face	49.0
12	119.7411998999305	13.010392369935289	4		
13	132.7407395998016	13.011560769984499	1	Right Face	49.0
14	145.74152389983647	1.9830885000992566	3-cue	Right Face	
15	147.72461239993572	11.01054887007922	3-trial	Right Face	
16	158.7261999999173	13.007807570043951	2	Right Face	37.0
17	171.72518149996176	1.9830702999606729	3-cue	Right Face	
18	173.70825179992244	11.01033916999586	3-trial	Right Face	
19	184.70953279989772	13.008300269721076	4		
20	197.70807639998384	13.011492169927806	1	Right Face	49.0
21	210.70927989995107	1.9830604000017047	3-cue	Right Face	
22	212.69234029995278	11.009620369877666	3-trial	Right Face	
23	223.6933802999556	13.008040770189837	4		
24	236.69191779987887	13.01121786981821	2	Right Face	37.0
25	249.6918827998452	13.011521569918841	4		
26	262.692686899798	1.9835884000640363	3-cue	Right Face	
27	264.676275299862	11.009908669861034	3-trial	Right Face	
28	275.6773643998895	13.007747970055789	2	Right Face	37.0
29	288.67622869997285	13.010252570034936	4		
30	301.67663459992036	13.009705869946629	4		
31	314.6760352998972	13.011156170163304	2	Right Face	37.0
32	327.676813099999	1.9835798998828977	3-cue	Right Face	
33	329.6603929998819	11.009600770194083	3-trial	Right Face	
34	340.6613077998627	13.007794269826263	2	Right Face	37.0
35	353.6606115999166	13.00946517009288	4		
36	366.6603174000047	13.010251769796014	2	Right Face	37.0
37	379.66056849993765	13.010007970035076	4		
38	392.66015269979835	13.011094870045781	1	Right Face	49.0
39	405.6610073999036	1.9834926000330597	3-cue	Right Face	
40	407.64449999993667	11.009371669963002	3-trial	Right Face	
41	418.64453049981967	13.009404269745573	1	Right Face	49.0
42	431.6446739998646	1.9830547000747174	3-cue	Right Face	
43	433.6277286999393	11.009720870060846	3-trial	Right Face	
44	444.62918219994754	1.9830438999924809	3-cue	Right Face	
45	446.61222609994	11.007688770070672	3-trial	Right Face	
46	457.6124012998771	13.007889969972894	1	Right Face	49.0
47	470.6113032998983	13.010317869950086	4		
48	483.6117484997958	13.009639570023865	4		
49	496.61090309987776	13.011583769926801	2	Right Face	37.0
50	509.6113347997889	1.9830850001890212	3-cue	Right Face	
51	511.5944197999779	11.011165370000526	3-trial	Right Face	
52	Valence Rating:	-37.901234567901234			
53	Intensity Rating:	50.18518518518519			
54	Comfort Rating:	32.901234567901234			
