	onset	duration	trial_type	body_site	temp
0	2.792162899975665	1.9833157000830397	3-cue	Left Arm	
1	4.775478600058705	10.999188077286817	3-trial	Left Arm	
2	15.775614600046538	13.008256910019554	1	Left Arm	47.5
3	28.77497640007641	1.982969000004232	3-cue	Left Arm	
4	30.757945400080644	11.01012501004152	3-trial	Left Arm	
5	41.758917000028305	13.008780209929682	2	Left Arm	35.0
6	54.75812950008549	13.01063741010148	4		
7	67.75770930002909	13.011737710097805	1	Left Arm	47.5
8	80.75796690001152	13.011476210085675	4		
9	93.75879370002076	1.983066999935545	3-cue	Left Arm	
10	95.7418606999563	11.010348809999414	3-trial	Left Arm	
11	106.74256340006832	13.009478810010478	1	Left Arm	47.5
12	119.74181550007779	13.011220310232602	4		
13	132.74177110008895	13.011553409975022	1	Left Arm	47.5
14	145.74230869999155	1.9829603999387473	3-cue	Left Arm	
15	147.7252690999303	11.0110930101946	3-trial	Left Arm	
16	158.7260526000755	13.010181609890424	2	Left Arm	35.0
17	171.7259822000051	1.9830620000138879	3-cue	Left Arm	
18	173.70904420001898	11.010851709870622	3-trial	Left Arm	
19	184.70997000008356	13.009496010025032	4		
20	197.70866960007697	13.012368710013106	1	Left Arm	47.5
21	210.7090972000733	1.9830418999772519	3-cue	Left Arm	
22	212.69213910005055	11.012096110032871	3-trial	Left Arm	
23	223.69410820002668	13.00869601010345	4		
24	236.69312220008578	13.010906309937127	2	Left Arm	35.0
25	249.69340890005697	13.01060250995215	4		
26	262.6938342000358	1.983041499974206	3-cue	Left Arm	
27	264.67687570001	11.010348209994845	3-trial	Left Arm	
28	275.67793810006697	13.008714210009202	2	Left Arm	35.0
29	288.67684600001667	13.011157009983435	4		
30	301.677423599991	13.01027080998756	4		
31	314.6769730000524	13.011447409982793	2	Left Arm	35.0
32	327.6776278000325	1.9829561000224203	3-cue	Left Arm	
33	329.6605839000549	11.010781309916638	3-trial	Left Arm	
34	340.6611278000055	13.010327309952118	2	Left Arm	35.0
35	353.6614906000905	13.009884210070595	4		
36	366.6610915000783	13.010933210025541	2	Left Arm	35.0
37	379.66155910003	13.010225410107523	4		
38	392.6618270999752	13.009935109992512	1	Left Arm	47.5
39	405.6620489000343	1.983020400046371	3-cue	Left Arm	
40	407.64506930008065	11.010059710009955	3-trial	Left Arm	
41	418.6452492000535	13.010265810065903	1	Left Arm	47.5
42	431.64529100002255	1.982551599969156	3-cue	Left Arm	
43	433.6278425999917	11.01128201012034	3-trial	Left Arm	
44	444.62960880005267	1.9830627999035642	3-cue	Left Arm	
45	446.61267159995623	11.009083210024983	3-trial	Left Arm	
46	457.6125468000537	13.009802910033613	1	Left Arm	47.5
47	470.6121387000894	13.010862710070796	4		
48	483.61258130008355	13.010254710097797	4		
49	496.61243720003404	13.010816309950314	2	Left Arm	35.0
50	509.61280350002926	1.9830731999827549	3-cue	Left Arm	
51	511.595876700012	11.01060141006019	3-trial	Left Arm	
52	Valence Rating:	-46.913580246913575			
53	Intensity Rating:	58.2716049382716			
54	Comfort Rating:	36.2962962962963			
