	onset	duration	trial_type	body_site	temp
0	2.784215399995446	1.9665290999982972	3-cue	Right Leg	
1	4.750744499993743	11.016424718953203	3-trial	Right Leg	
2	15.757822199986549	13.008798639988527	2	Right Leg	38.5
3	28.756379300000845	13.011909040011233	4		
4	41.757075300003635	1.9831514000252355	3-cue	Right Leg	
5	43.74022670002887	11.010955139994621	3-trial	Right Leg	
6	54.741170299996156	13.009508939983789	2	Right Leg	38.5
7	67.74053330000606	13.01103414001409	4		
8	80.74044210001011	13.011457040003734	2	Right Leg	38.5
9	93.74006989999907	13.012418639991665	4		
10	106.74079630000051	13.011179239983903	4		
11	119.74042720001307	13.012161939986981	2	Right Leg	38.5
12	132.74123580000014	13.010815740010003	4		
13	145.74049940000987	13.01254563999828	1	Right Leg	46.5
14	158.74109470000258	13.011615039984463	4		
15	171.7414734000049	13.011110240011476	2	Right Leg	38.5
16	184.74191879999125	1.9831727000128012	3-cue	Right Leg	
17	186.72509150000405	11.010615539969876	3-trial	Right Leg	
18	197.7262103999965	1.9831363999983296	3-cue	Right Leg	
19	199.70934679999482	11.00897523999447	3-trial	Right Leg	
20	210.7097791999986	13.008575039973948	2	Right Leg	38.5
21	223.70927729998948	13.009810140007176	4		
22	236.70874939998612	13.011075139977038	2	Right Leg	38.5
23	249.70950810000068	1.9831583999912255	3-cue	Right Leg	
24	251.6926664999919	11.009988539997721	3-trial	Right Leg	
25	262.69282319999184	13.010080439969897	1	Right Leg	46.5
26	275.6923917999957	1.983164700010093	3-cue	Right Leg	
27	277.67555650000577	11.011387039965484	3-trial	Right Leg	
28	288.67677670001285	13.009290340007283	1	Right Leg	46.5
29	301.675722999993	13.011630839988356	4		
30	314.676268500014	13.010868439974729	4		
31	327.6763093000045	13.011024439998437	1	Right Leg	46.5
32	340.67646079999395	13.010982940002577	4		
33	353.6760045000119	13.012147139990702	1	Right Leg	46.5
34	366.6774482000037	1.9834062999871094	3-cue	Right Leg	
35	368.6608544999908	11.009400940034539	3-trial	Right Leg	
36	379.66184350001276	1.9831733999890275	3-cue	Right Leg	
37	381.6450169000018	11.007763240020722	3-trial	Right Leg	
38	392.6440867999918	13.010050440003397	1	Right Leg	46.5
39	405.644266599993	13.009933139983332	4		
40	418.64388379998854	13.010919739957899	1	Right Leg	46.5
41	431.64387860000716	13.01120273998822	4		
42	444.64463429999887	1.9832584999967366	3-cue	Right Leg	
43	446.6278927999956	11.010006039985456	3-trial	Right Leg	
44	457.62799589999486	13.010105439985637	1	Right Leg	46.5
45	470.6282682000019	1.9831685999815818	3-cue	Right Leg	
46	472.6114367999835	11.00998403999256	3-trial	Right Leg	
47	483.6126932000043	1.9831481000001077	3-cue	Right Leg	
48	485.5958413000044	11.008056439954089	3-trial	Right Leg	
49	496.5950397000124	13.010088740003994	2	Right Leg	38.5
50	509.5953157999902	1.9831528999784496	3-cue	Right Leg	
51	511.57846869996865	11.010002539987909	3-trial	Right Leg	
52	Valence Rating:	-47.037037037037045			
53	Intensity Rating:	53.02469135802469			
54	Comfort Rating:	30.432098765432098			
