	onset	duration	bodySite	intensity	temperature	condition	pretrial-jitter	posttrial-jitter
0	50.31655969982967	5.013054309878498	Abdomen	23.51851851851852	47.5	1back	7.5	10.0
1	85.36760449991561	5.011604810133576	Abdomen	24.25925925925926	47.5	1back	5.0	5.0
2	127.91769689996727	5.012151010101661	Abdomen	20.74074074074074	47.5	1back	10.0	7.5
3	170.4677093999926	5.012852709973231	Abdomen	20.925925925925924	47.5	1back	7.5	10.0
4	218.1687655998394	5.01150421006605	Abdomen	19.38271604938272	47.5	2back	7.5	5.0
5	263.35280369990505	5.0109125098679215	Abdomen	19.012345679012345	47.5	2back	10.0	10.0
6	301.01980869984254	5.010874410159886	Abdomen	22.40740740740741	47.5	2back	5.0	7.5
7	338.702866199892	5.012077210238203	Abdomen	23.39506172839506	47.5	2back	7.5	5.0
8	381.38694519991986	5.011314210249111	Abdomen	22.839506172839506	47.5	2back	10.0	7.5
9	421.5709673999809	5.010674909921363	Abdomen	22.40740740740741	47.5	2back	7.5	7.5
10	464.2539726998657	5.012068409938365	Abdomen	23.641975308641975	47.5	2back	7.5	10.0
11	504.4380189999938	5.0113789099268615	Abdomen	22.34567901234568	47.5	2back	5.0	10.0
12	554.5051260998007	5.011302409926429	Abdomen	23.209876543209877	47.5	1back	10.0	5.0
13	597.0551684999373	5.011934810085222	Abdomen	21.666666666666668	47.5	1back	10.0	7.5
14	634.6061682999134	5.0105906100943685	Abdomen	21.790123456790123	47.5	1back	7.5	5.0
15	677.1562149999663	5.0112312103156	Abdomen	22.839506172839506	47.5	1back	10.0	7.5
