	SID	date	sex	session	handedness	scanner	onset	duration	repetition	rating	body_site	keys	temperature	conditionrt	mouseclick	biopac_channel	condition	rt	value
0	3090	2024_Nov_12_1908	m	1	r	JD SS	2.773989699780941	5.002807636279613								19	Instructions		
1	3090	2024_Nov_12_1908	m	1	r	JD SS	9.172011099755764	2.0050510242581367								6	Cue		
2	3090	2024_Nov_12_1908	m	1	r	JD SS	11.185198499821126	7.995293229818344								7	Pre-Jitter		
3	3090	2024_Nov_12_1908	m	1	r	JD SS	19.235228199977428	14.995524420402944			Left Arm		48.0			13	Heat-Stimulation		
4	3090	2024_Nov_12_1908	m	1	r	JD SS	34.31287489971146	9.007222280371934								8	Mid-Jitter		
5	3090	2024_Nov_12_1908	m	1	r	JD SS	43.33413469977677	4.998203060589731								20	PainBinary	1.1338331000879407	1.0
6	3090	2024_Nov_12_1908	m	1	r	JD SS	48.35203769989312	5.0125286602415144								21	IntensityRating	3.7027222998440266	57.098765432098766
7	3090	2024_Nov_12_1908	m	1	r	JD SS	53.38151989970356	5.003681259229779								22	ToleranceRating	1.817202300298959	-1.0
8	3090	2024_Nov_12_1908	m	1	r	JD SS	58.38824409991503	9.007046029902995								9	Post-Q-Jitter		
9	3090	2024_Nov_12_1908	m	1	r	JD SS	68.84245370002463	2.015669944230467								6	Cue		
10	3090	2024_Nov_12_1908	m	1	r	JD SS	70.85206720000133	3.996348629705608								7	Pre-Jitter		
11	3090	2024_Nov_12_1908	m	1	r	JD SS	74.86911079986021	14.995814159978181			Left Arm		47.5			13	Heat-Stimulation		
12	3090	2024_Nov_12_1908	m	1	r	JD SS	89.94476899970323	9.01147318026051								8	Mid-Jitter		
13	3090	2024_Nov_12_1908	m	1	r	JD SS	98.9685744997114	4.99736395990476								20	PainBinary	1.2336088996380568	1.0
14	3090	2024_Nov_12_1908	m	1	r	JD SS	103.98654769966379	5.011531160213053								21	IntensityRating	3.6169606996700168	54.074074074074076
15	3090	2024_Nov_12_1908	m	1	r	JD SS	109.01502819964662	5.0046894596889615								22	ToleranceRating	1.433625599835068	-1.0
16	3090	2024_Nov_12_1908	m	1	r	JD SS	114.02225210005417	9.007079130038619								9	Post-Q-Jitter		
17	3090	2024_Nov_12_1908	m	1	r	JD SS	124.2881193999201	2.009005483239889								6	Cue		
