	onset	duration	intensity	bodySite	temperature	condition	pretrial-jitter
0	2.772861899982672	5.007216600002721		Left Arm	49.0	Experience Instruction	
1	10.917985400010366	12.873674419999588		Left Arm	49.0	Experience Phase	3.0
2	30.79916910000611	5.012802789919078	37.53086419753087	Left Arm	49.0	Intensity Rating	7.0
3	38.857227900007274	12.945955369970761		Left Arm	49.0	Experience Phase	3.0
4	58.81654859997798	5.011692889966071	50.0	Left Arm	49.0	Intensity Rating	7.0
5	66.9011411999818	12.925155850010924		Left Arm	49.0	Experience Phase	3.0
6	82.83322249999037	5.012130189978052	24.50617283950617	Left Arm	49.0	Intensity Rating	3.0
7	94.90742709999904	12.92979235999519		Left Arm	49.0	Experience Phase	7.0
8	112.8503871000139	5.011615190014709	23.703703703703706	Left Arm	49.0	Intensity Rating	5.0
9	122.88782509998418	12.969614479981828		Left Arm	49.0	Experience Phase	5.0
10	138.86640260001877	5.01332819001982	25.185185185185183	Left Arm	49.0	Intensity Rating	3.0
11	150.94261430000188	12.927075359970331		Left Arm	49.0	Experience Phase	7.0
12	166.8836054999847	5.0127678900025785	24.25925925925926	Left Arm	49.0	Intensity Rating	3.0
13	178.93267800001195	12.964165270037483		Left Arm	49.0	Experience Phase	7.0
14	194.90060430002632	5.012570189952385	24.876543209876544	Left Arm	49.0	Intensity Rating	3.0
15	206.9354632999748	12.975800879998133		Left Arm	49.0	Experience Phase	7.0
16	224.9179609999992	5.011935190006625	22.839506172839506	Left Arm	49.0	Intensity Rating	5.0
17	234.9626005999744	12.955377280013636		Left Arm	49.0	Experience Phase	5.0
18	252.9350071999943	5.011672589986119	30.308641975308642	Left Arm	49.0	Intensity Rating	5.0
19	262.9803702000063	12.970349479990546		Left Arm	49.0	Experience Phase	5.0
20	278.9681450999924	5.012524190009572	25.37037037037037	Left Arm	49.0	Intensity Rating	3.0
21	291.01339829998324	12.954747879994102		Left Arm	49.0	Experience Phase	7.0
22	306.98558290000074	5.011464189970866	23.827160493827158	Left Arm	49.0	Intensity Rating	3.0
23	319.03922769997735	12.953524370037485		Left Arm	49.0	Experience Phase	7.0
24	335.0019294000231	5.012598489993252	26.172839506172842	Left Arm	49.0	Intensity Rating	3.0
25	347.0586896999739	12.948427670111414		Left Arm	49.0	Experience Phase	7.0
26	363.01877999998396	5.012711590039544	24.876543209876544	Left Arm	49.0	Intensity Rating	3.0
27	375.0965883000172	12.923056559928227		Left Arm	49.0	Experience Phase	7.0
28	391.0360460000229	5.011993389984127	23.333333333333332	Left Arm	49.0	Intensity Rating	3.0
29	403.1019984000013	12.946080359979533		Left Arm	49.0	Experience Phase	7.0
30	421.05340430000797	5.011168190045282	27.839506172839506	Left Arm	49.0	Intensity Rating	5.0
31	431.1021664	12.962957770039793		Left Arm	49.0	Experience Phase	5.0
32	451.06998590001604	5.012013490020763	29.259259259259256	Left Arm	49.0	Intensity Rating	7.0
33	Comfort Rating:	-8.271604938271608					
34	Valence Rating:	-24.320987654320987					
35	Intensity Rating:	34.32098765432099					
36	Pain Avoidance Rating:	49.87654320987654					
37	Body Relaxation Rating:	52.962962962962955					
38	TaskAttention Rating:	44.382716049382715					
39	Boredom Rating:	29.38271604938272					
40	Pain Alertnessance Rating:	-35.925925925925924					
41	Positive Thoughts Rating:	-31.11111111111113					
42	Negative Thoughts Rating:	11.604938271604937					
43	Self-Thoughts Rating:	10.246913580246925					
44	Other People Thoughts Rating:	28.02469135802471					
45	Clear and Vivid Imagery Rating:	-28.148148148148152					
46	Presentness Thoughts Rating:	-14.938271604938265					
