	onset	duration	intensity	bodySite	temperature	condition	pretrial-jitter
0	2.788536300009582	5.017829399992479		Left Face	49.0	Regulation Instruction	
1	10.8801070000045	12.93597539998882		Left Face	49.0	Regulation Phase	3.0
2	26.8259939999989	5.011872650007717	20.246913580246915	Left Face	49.0	Intensity Rating	3.0
3	38.890878700010944	12.948227800006862		Left Face	49.0	Regulation Phase	7.0
4	58.843126200008555	5.0114839500020025	21.049382716049383	Left Face	49.0	Intensity Rating	7.0
5	66.88900260000082	12.952432399993995		Left Face	49.0	Regulation Phase	3.0
6	84.85950380000577	5.01246345002437	22.962962962962962	Left Face	49.0	Intensity Rating	5.0
7	94.91859700001078	12.943709650004166		Left Face	49.0	Regulation Phase	5.0
8	112.87601550000545	5.013274850003654	20.925925925925924	Left Face	49.0	Intensity Rating	5.0
9	122.94221610001114	12.946941599991987		Left Face	49.0	Regulation Phase	5.0
10	142.89309520000825	5.012902550006402	22.65432098765432	Left Face	49.0	Intensity Rating	7.0
11	150.9346790999989	12.962471199978609		Left Face	49.0	Regulation Phase	3.0
12	168.91028890000598	5.012142350009526	22.22222222222222	Left Face	49.0	Intensity Rating	5.0
13	178.95083080000768	12.963957699990715		Left Face	49.0	Regulation Phase	5.0
14	194.92745610000566	5.011709350001183	21.48148148148148	Left Face	49.0	Intensity Rating	3.0
15	206.97844430000987	12.959187850006856		Left Face	49.0	Regulation Phase	7.0
16	222.9441433000029	5.01212115000817	22.530864197530864	Left Face	49.0	Intensity Rating	3.0
17	235.00788330000069	12.950672050006688		Left Face	49.0	Regulation Phase	7.0
18	252.97815000000992	5.011279149999609	22.098765432098766	Left Face	49.0	Intensity Rating	5.0
19	263.0468347999995	12.939993799984222		Left Face	49.0	Regulation Phase	5.0
20	280.99495770000794	5.011423250005464	21.91358024691358	Left Face	49.0	Intensity Rating	5.0
21	291.07560330000706	12.932933049989515		Left Face	49.0	Regulation Phase	5.0
22	311.01091769999766	5.01336635001644	50.24691358024691	Left Face	49.0	Intensity Rating	7.0
23	319.04893170000287	12.97011909999128		Left Face	49.0	Regulation Phase	3.0
24	337.0287215999997	5.0115205500187585	23.14814814814815	Left Face	49.0	Intensity Rating	5.0
25	347.110162099998	12.93141384999035		Left Face	49.0	Regulation Phase	5.0
26	365.0456649999978	5.0113900500000454	50.0	Left Face	49.0	Intensity Rating	5.0
27	375.10157700000855	12.949018449988216		Left Face	49.0	Regulation Phase	5.0
28	391.0623762000032	5.011777449995861	17.716049382716047	Left Face	49.0	Intensity Rating	3.0
29	403.11303740000585	12.959881350005162		Left Face	49.0	Regulation Phase	7.0
30	419.0788365000044	5.0126228500012076	22.283950617283953	Left Face	49.0	Intensity Rating	3.0
31	431.14562190001016	12.94524229997478		Left Face	49.0	Regulation Phase	7.0
32	447.0957151000039	5.012663650006289	21.54320987654321	Left Face	49.0	Intensity Rating	3.0
33	Comfort Rating:	4.691358024691368					
34	Valence Rating:	-59.135802469135804					
35	Intensity Rating:	28.580246913580247					
36	Pain Avoidance Rating:	39.75308641975309					
37	Body Relaxation Rating:	75.67901234567901					
38	TaskAttention Rating:	54.19753086419753					
39	Boredom Rating:	70.80246913580247					
40	Pain Alertnessance Rating:	-66.54320987654322					
41	Positive Thoughts Rating:	30.24691358024691					
42	Negative Thoughts Rating:	-26.790123456790127					
43	Self-Thoughts Rating:	17.90123456790124					
44	Other People Thoughts Rating:	8.518518518518519					
45	Clear and Vivid Imagery Rating:	-1.4814814814814667					
46	Presentness Thoughts Rating:	1.481481481481481					
