	onset	duration	trial_type	body_site	temp
0	2.7646252000704408	13.005850890185684	4		
1	15.761472299927846	13.012748830253258	1	Left Face	48.0
2	28.769110599998385	1.9999478999525309	3-cue	Left Face	
3	30.769058499950916	10.997732130112126	3-trial	Left Face	
4	41.763512999983504	1.9831236000172794	3-cue	Left Face	
5	43.746636600000784	11.009294929914176	3-trial	Left Face	
6	54.745919400127605	13.011162030044943	2	Left Face	37.0
7	67.74549850006588	1.9831019002012908	3-cue	Left Face	
8	69.72860040026717	11.012469729641452	3-trial	Left Face	
9	80.7304605001118	1.983086199965328	3-cue	Left Face	
10	82.71354670007713	11.009433530271053	3-trial	Left Face	
11	93.71319940011017	13.010580529924482	2	Left Face	37.0
12	106.71239150012843	13.012415430042893	4		
13	119.71273180004209	13.011951430235058	4		
14	132.71247610007413	13.01266543008387	2	Left Face	37.0
15	145.71341859991662	1.9830928000155836	3-cue	Left Face	
16	147.6965113999322	11.011258930200711	3-trial	Left Face	
17	158.69713210011832	13.010470930254087	2	Left Face	37.0
18	171.69727080012672	1.983072099974379	3-cue	Left Face	
19	173.6803429001011	11.010686530033126	3-trial	Left Face	
20	184.68031809991226	13.01120882993564	1	Left Face	48.0
21	197.68013320001774	1.9830849999561906	3-cue	Left Face	
22	199.66321819997393	11.012037029955536	3-trial	Left Face	
23	210.66483339993283	1.9831624999642372	3-cue	Left Face	
24	212.64799589989707	11.009469829965383	3-trial	Left Face	
25	223.64743000012822	13.010993130272254	1	Left Face	48.0
26	236.64643090008758	13.01318192994222	4		
27	249.64740399993025	1.98295470001176	3-cue	Left Face	
28	251.630358699942	11.011807329952717	3-trial	Left Face	
29	262.6314342999831	13.010275830049068	2	Left Face	37.0
30	275.63095699995756	13.011455830186605	4		
31	288.6307031000033	13.01217063004151	1	Left Face	48.0
32	301.63065720000304	13.012471129884943	4		
33	314.63129419996403	13.011411430081353	4		
34	327.6307075000368	13.012816230067983	1	Left Face	48.0
35	340.6322067999281	1.9832281998824328	3-cue	Left Face	
36	342.61543499981053	11.010147230001166	3-trial	Left Face	
37	353.6157404000405	13.009850630303845	1	Left Face	48.0
38	366.6153281999286	13.010840530274436	4		
39	379.6146863999311	13.012342430185527	2	Left Face	37.0
40	392.6154044000432	1.9831320999655873	3-cue	Left Face	
41	394.5985365000088	11.011372330132872	3-trial	Left Face	
42	405.5996232999023	13.009629129897803	1	Left Face	48.0
43	418.59911300009117	13.010877430206165	4		
44	431.5988447999116	13.01162932999432	1	Left Face	48.0
45	444.5991847999394	13.011156929889694	4		
46	457.5986490000505	13.012431730050594	2	Left Face	37.0
47	470.59871249995194	13.012508729938418	4		
48	483.59920000005513	13.011757330270484	4		
49	496.59866590006277	13.013074929825962	2	Left Face	37.0
50	509.5999964000657	1.983223400078714	3-cue	Left Face	
51	511.58321980014443	11.010739929741248	3-trial	Left Face	
52	Valence Rating:	-9.753086419753089			
53	Intensity Rating:	22.592592592592595			
54	Comfort Rating:	60.80246913580246			
