runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,118.42339420000008,None,space,74.67209819999971,118.42339420000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,0,0,0,,,,,,,193.23677140000018,193.23677140000018,None,space,598.2672438999998,193.23677140000018,None,791.5245186000002,space,84.61158830000022,791.5245186000002,None,898.7092760999994,900.7092739999998,898.7092760999994,900.7092739999998,900.7092739999998,None,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,5,5,5,,,,,,,,,,,,,,,,,,,963.7099650000009,965.7101159000003,963.7099650000009,965.7101159000003,965.6931654000009,963.7099650000009,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,10,10,10,,,,,,,,,,,,,,,,,,,1028.6940067999994,1030.6940408,1028.6940067999994,1030.6940408,1030.6770368000007,1028.6940067999994,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,14,14,14,,,,,,,,,,,,,,,,,,,1080.6778523000003,1082.6778175000009,1080.6778523000003,1082.6778175000009,1082.6608057000003,1080.6778523000003,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,16,16,16,,,,,,,,,,,,,,,,,,,1106.6608657000006,1108.6613638000008,1106.6608657000006,1108.6613638000008,1108.6443881999994,1106.6608657000006,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,18,18,18,,,,,,,,,,,,,,,,,,,1132.645081400001,1134.6449309999998,1132.645081400001,1134.6449309999998,1134.6279185000012,1132.645081400001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,19,19,19,,,,,,,,,,,,,,,,,,,1145.6282464999995,1147.6283833000007,1145.6282464999995,1147.6283833000007,1147.6113655,1145.6282464999995,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,21,21,21,,,,,,,,,,,,,,,,,,,1171.611866100001,1173.6119718,1171.611866100001,1173.6119718,1173.5949186999997,1171.611866100001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,22,22,22,,,,,,,,,,,,,,,,,,,1184.595255700001,1186.5953173999997,1184.595255700001,1186.5953173999997,1186.5783712000002,1184.595255700001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,24,24,24,,,,,,,,,,,,,,,,,,,1210.5782124999996,1212.5789261,1210.5782124999996,1212.5789261,1212.5619159000007,1210.5782124999996,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,26,26,26,,,,,,,,,,,,,,,,,,,1236.5624197999996,1238.5624718000008,1236.5624197999996,1238.5624718000008,1238.545476100001,1236.5624197999996,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,3,0,0,0,2,0,35,35,35,,,,,,,,,,,,,,,,,,,1353.5467442,1355.5467952999998,1353.5467442,1355.5467952999998,1355.5298145000006,1353.5467442,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.5302137999997,1405.5302137999997,0.0,1422.8658292500004,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013229050000518328,10.009938850000253,50.0,1432.8656238500007,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder13.xlsx,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013513149999198504,10.010460349998539,50.0,1442.8653991500014,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,0,0,0,,,,,,,1453.4807298000005,1453.4807298000005,None,space,298.09659529999954,1453.4807298000005,None,,,,,,1783.1833787000005,1785.1835077999995,1783.1833787000005,1785.1835077999995,1785.1835077999995,None,,,,,,,,,,,0.013847049998730654,10.011199349999515,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,1822.1841252000004,1824.1841276999994,1822.1841252000004,1824.1841276999994,1824.1671496999998,1822.1841252000004,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,1965.1685188000001,1967.1684249,1965.1685188000001,1967.1684249,1967.1517138000008,1965.1685188000001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,,,1978.152044200001,1980.1520984999997,1978.152044200001,1980.1520984999997,1980.1351528999994,1978.152044200001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,,,,,2030.1356564999996,2032.1358252,2030.1356564999996,2032.1358252,2032.118923500001,2030.1356564999996,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,,,,,,2056.1193937,2058.119477700001,2056.1193937,2058.119477700001,2058.1024731999996,2056.1193937,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,28,28,28,,,,,,,,,,,,,,,,,,,2147.1035191,2149.103571300001,2147.1035191,2149.103571300001,2149.086594700001,2147.1035191,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,29,29,29,,,,,,,,,,,,,,,,,,,2160.086919300001,2162.0869842,2160.086919300001,2162.0869842,2162.0700288,2160.086919300001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,34,34,34,,,,,,,,,,,,,,,,,,,2225.070977800001,2227.070834500001,2225.070977800001,2227.070834500001,2227.0539283000007,2225.070977800001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,36,36,36,,,,,,,,,,,,,,,,,,,2251.054404200001,2253.0544574000005,2251.054404200001,2253.0544574000005,2253.037490900001,2251.054404200001,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,37,37,37,,,,,,,,,,,,,,,,,,,2264.0376962,2266.0379064,2264.0376962,2266.0379064,2266.020918700001,2264.0376962,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,3,0,1,1,1,0,39,39,39,,,,,,,,,,,,,,,,,,,2290.0213787000002,2292.0214798999996,2290.0213787000002,2292.0214798999996,2292.0044977999996,2290.0213787000002,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2307.3407558500003,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012570049999339972,10.008666349998748,50.0,2317.34015885,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder11.xlsx,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013220349999755854,10.009846949998973,50.0,2327.3406206500003,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,2,2,3,0,2,2,2,,,,,,,2336.1384331,2336.1384331,None,space,422.6564878999998,2336.1384331,None,,,,,,2802.725553700001,2804.7258439000007,2802.725553700001,2804.7258439000007,2804.7088863,2802.725553700001,,,,,,,,,,,0.012876049999249517,10.009265049999158,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
stimuli/orders/stimOrder15.xlsx,3,0,2,2,3,0,3,3,3,,,,,,,,,,,,,,,,,,,2815.7092487,2817.7093527999996,2815.7092487,2817.7093527999996,2817.6923447,2815.7092487,,,,,,,,,,,,,,,,,,,1,M,2,35,r,ARB,2022_Feb_01_2017,2020.2.5,bodymapST2,59.997756083970415,"['Left Leg', 'Abdomen', 'Left Face', 'Right Arm']",
