	onset	duration	trial_type	body_site	temp
0	3775.1218769999978	13.016890099999728	3.0	Left Leg	
1	3788.121537900006	12.999089999999796	1.0	Left Leg	45.5
2	3801.1219144000206	12.999040799999875	4.0		
3	3814.1220914000005	12.999814299999798	1.0	Left Leg	45.5
4	3827.1223978000053	12.999983000000157	3.0	Left Leg	
5	3840.122213100025	12.999237099999846	4.0		
6	3853.1224113000208	13.00006940000003	2.0	Left Leg	44.0
7	3866.1225585000066	13.000200899999982	3.0	Left Leg	
8	3879.1222095999983	12.999208299999736	3.0	Left Leg	
9	3892.122790900001	12.999923399999716	2.0	Left Leg	44.0
10	3905.1231536999985	12.999392400000033	3.0	Left Leg	
11	3918.123051500006	12.99917379999988	1.0	Left Leg	45.5
12	3931.1231716000184	12.999537900000178	3.0	Left Leg	
13	3944.1231037000252	12.99968839999974	1.0	Left Leg	45.5
14	3957.1231263000227	13.00012310000011	3.0	Left Leg	
15	3970.122927300021	12.999483700000383	3.0	Left Leg	
16	3983.123504200019	12.999400599999717	2.0	Left Leg	44.0
17	3996.123457400012	12.999360499999966	4.0		
18	4009.124669300014	13.014310300000034	4.0		
19	4022.140324600012	13.002156199999718	1.0	Left Leg	45.5
20	4035.140655299998	12.998743300000115	4.0		
21	4048.140556700004	13.000598000000082	2.0	Left Leg	44.0
22	4061.1406165000226	12.999581800000215	4.0		
23	4074.140792500024	12.99864800000023	4.0		
24	4087.140826800023	12.999496200000067	2.0	Left Leg	44.0
25	4100.140860600019	13.000632300000689	3.0	Left Leg	
26	4113.140818000014	12.998951999999917	1.0	Left Leg	45.5
27	4126.141101700021	12.999521100000493	4.0		
28	4139.141428400006	12.999882099999923	4.0		
29	4152.141335699998	12.999557399999503	1.0	Left Leg	45.5
30	4165.141920100024	12.999596499999825	3.0	Left Leg	
31	4178.141452200012	12.998927900000126	2.0	Left Leg	44.0
32	4191.142034100019	13.000464199999442	3.0	Left Leg	
33	4204.141642100003	12.999486900000193	4.0		
34	4217.141839600023	12.998914499999955	2.0	Left Leg	44.0
35	4230.142410500004	13.000556099999812	3.0	Left Leg	
36	4243.142092299997	12.99859319999996	2.0	Left Leg	44.0
37	4256.142392500013	12.999672300000384	4.0		
38	4269.142163100012	13.00048869999955	1.0	Left Leg	45.5
39	4282.142285700014	12.998783699999876	4.0		
40	Valence Rating:	-16.527777777777786			
41	Intensity Rating:	20.555555555555557			
42	Comfort Rating:	41.45833333333333			
