	onset	duration	trial_type	body_site	temp
0	2.7658032001927495	13.001881808508188	4		
1	15.761305500054732	13.011274660006166	1	Left Leg	48.0
2	28.761645200196654	13.01080506038852	4		
3	41.761333000147715	13.011615560157225	2	Left Leg	43.5
4	54.77281540003605	1.9829877000302076	3-cue	Left Leg	
5	56.75580310006626	11.005880060140043	3-trial	Left Leg	
6	67.76234840019606	13.009999660076573	1	Left Leg	48.0
7	80.76247399998829	1.9821456000208855	3-cue	Left Leg	
8	82.74461960000917	11.011129460064694	3-trial	Left Leg	
9	93.74496760009788	13.011830760166049	1	Left Leg	48.0
10	106.7453067000024	1.9831826998852193	3-cue	Left Leg	
11	108.72848939988762	11.011518059996888	3-trial	Left Leg	
12	119.72918040002696	1.98318099998869	3-cue	Left Leg	
13	121.71236140001565	11.010640760185197	3-trial	Left Leg	
14	132.71200800011866	13.01169816008769	2	Left Leg	43.5
15	145.7125334001612	1.9837597000878304	3-cue	Left Leg	
16	147.69629310024902	11.010424359934404	3-trial	Left Leg	
17	158.6963477001991	13.010097560239956	4		
18	171.69523820001632	13.012507759965956	2	Left Leg	43.5
19	184.6959883000236	1.9833301999606192	3-cue	Left Leg	
20	186.67931849998422	11.011231360258535	3-trial	Left Leg	
21	197.68014589999802	13.009794059908018	1	Left Leg	48.0
22	210.6798182001803	13.010625360067934	4		
23	223.6792604001239	13.011964460136369	1	Left Leg	48.0
24	236.68011200008914	1.9832645999267697	3-cue	Left Leg	
25	238.6633766000159	11.010537460213527	3-trial	Left Leg	
26	249.66337990015745	13.010781260207295	1	Left Leg	48.0
27	262.66233070008457	13.013091459870338	4		
28	275.6639645001851	1.9835099000483751	3-cue	Left Leg	
29	277.6474744002335	11.009865260217339	3-trial	Left Leg	
30	288.64671500003897	13.01139786024578	2	Left Leg	43.5
31	301.645941400202	13.0131519602146	4		
32	314.6478978001978	1.9833165002055466	3-cue	Left Leg	
33	316.63121430040337	11.00947906007059	3-trial	Left Leg	
34	327.63025000016205	13.011639160336927	2	Left Leg	43.5
35	340.6311692001764	13.010013059945777	4		
36	353.630360300187	13.011865259846672	1	Left Leg	48.0
37	366.63096039998345	1.9832970998249948	3-cue	Left Leg	
38	368.61425749980845	11.010872760089114	3-trial	Left Leg	
39	379.61447080015205	13.010638860054314	4		
40	392.6135224001482	13.012761060148478	2	Left Leg	43.5
41	405.6138323000632	1.9831532000098377	3-cue	Left Leg	
42	407.59698550007306	11.012552859960124	3-trial	Left Leg	
43	418.5988361001946	1.9831580999307334	3-cue	Left Leg	
44	420.58199420012534	11.00939966016449	3-trial	Left Leg	
45	431.5818266000133	13.010112560121343	2	Left Leg	43.5
46	444.5824124000501	13.00916016031988	4		
47	457.58049710001796	13.013193059945479	1	Left Leg	48.0
48	470.58148799999617	13.011409159982577	4		
49	483.58196770003997	13.010657360078767	4		
50	496.5818439000286	13.011147760087624	2	Left Leg	43.5
51	509.58147880015895	13.012054960243404	4		
52	Valence Rating:	-38.88888888888889			
53	Intensity Rating:	51.48148148148148			
54	Comfort Rating:	64.13580246913581			
