	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter	posttrial-jitter
0	38.31862250005361	2.0047136100474745	[0.529931899975054, 0.0, 0.0]	0	1	Right Face	48.0	1back	7.5	5.0
1	78.36961689998861	2.00339111010544	[0.0, 0.0, 0.5133189000189304]	2	1	Right Face	48.0	1back	10.0	7.5
2	118.4196263999911	2.004021010012366	[0.8632219999562949, 0.0, 0.0]	0	1	Right Face	48.0	1back	7.5	7.5
3	158.46975060005207	2.004394610063173	[0.6299494000850245, 0.0, 0.0]	0	1	Right Face	48.0	1back	7.5	10.0
4	213.65201100008562	2.007430410012603	[0.0, 0.0, 0.5193077999865636]	2	0	Right Face	48.0	2back	10.0	10.0
5	253.8357864000136	2.007194110075943	[0.0, 0.0, 0.6526509000686929]	2	1	Right Face	48.0	2back	5.0	7.5
6	294.0192752000876	2.0075069098966196	[0.9030606000451371, 0.0, 0.0]	0	1	Right Face	48.0	2back	7.5	10.0
7	334.2028293000767	2.0076265099924058	[0.9503879999974743, 0.0, 0.0]	0	1	Right Face	48.0	2back	5.0	7.5
8	374.3868742000777	2.0069459099322557	[0.0, 0.0, 0.4836025000549853]	2	1	Right Face	48.0	2back	7.5	5.0
9	414.5702429000521	2.0074771100189537	[0.0, 0.0, 1.0211121999891475]	2	1	Right Face	48.0	2back	10.0	5.0
10	454.7539216000587	2.007410310092382	[0.5365297999233007, 0.0, 0.0]	0	1	Right Face	48.0	2back	10.0	5.0
11	494.9376698000124	2.0072823099326342	[0.4503441998967901, 0.0, 0.0]	0	1	Right Face	48.0	2back	10.0	7.5
12	547.523256800021	2.0036081100115553	[0.5298332000384107, 0.0, 0.0]	0	1	Right Face	48.0	1back	10.0	7.5
13	587.5740467000287	2.0026805099332705	[0.0, 0.0, 0.62997880007606]	2	1	Right Face	48.0	1back	7.5	10.0
14	627.6243658000603	2.0026991100749	[0.0, 0.0, 0.4327719999710098]	2	0	Right Face	48.0	1back	5.0	5.0
15	667.6742581999861	2.003537209937349	[0.0, 0.0, 0.36310930002946407]	2	1	Right Face	48.0	1back	10.0	5.0
