	onset	duration	trial_type	body_site	temp
0	842.3957510998007	12.0	3.0	Left Arm	37.5
1	857.9133570999838	12.0	6.0	Left Face	
2	877.913483100012	12.0	4.0	Left Face	37.0
3	893.4636101999786	12.0	5.0	Left Arm	
4	913.4637699997984	12.0	1.0	Left Arm	46.0
5	930.9806046998128	12.0	7.0		
6	950.9806680998299	12.0	3.0	Left Arm	37.5
7	970.9808582998812	12.0	5.0	Left Arm	
8	994.8143726999406	12.0	6.0	Left Face	
9	1014.8145309998654	12.0	4.0	Left Face	37.0
10	1038.3146873998921	12.0	6.0	Left Face	
11	1058.31480990001	12.0	3.0	Left Arm	37.5
12	1081.965043199947	12.0	6.0	Left Face	
13	1101.9651408998761	12.0	4.0	Left Face	37.0
14	1125.7819921998307	12.0	5.0	Left Arm	
15	1145.7821400000248	12.0	4.0	Left Face	37.0
16	1169.8322982999962	12.0	7.0		
17	1189.8324537998997	12.0	2.0	Left Face	48.0
18	1213.3660349999554	12.0	7.0		
19	1233.366097399965	12.0	3.0	Left Arm	37.5
20	1257.182996999938	12.0	5.0	Left Arm	
21	1277.1831036999356	12.0	2.0	Left Face	48.0
22	1301.199961300008	12.0	6.0	Left Face	
23	1321.1999470000155	12.0	4.0	Left Face	37.0
24	1345.0169175998308	12.0	6.0	Left Face	
25	1365.0170487000141	12.0	1.0	Left Arm	46.0
26	1388.7006643998902	12.0	7.0		
27	1408.7007416000124	12.0	1.0	Left Arm	46.0
28	1432.634275399847	12.0	6.0	Left Face	
29	1452.6343820998445	12.0	2.0	Left Face	48.0
30	1476.5346118998714	12.0	7.0		
31	1496.5347121998202	12.0	1.0	Left Arm	46.0
32	1520.1349002998322	12.0	5.0	Left Arm	
33	1540.135013199877	12.0	3.0	Left Arm	37.5
34	1563.968597299885	12.0	6.0	Left Face	
35	1583.9686866998672	12.0	2.0	Left Face	48.0
36	1607.7521974998526	12.0	5.0	Left Arm	
37	1627.7523434998002	12.0	1.0	Left Arm	46.0
38	Valence Rating:	-10.370370370370367			
39	Intensity Rating:	23.004115226337447			
40	Comfort Rating:	58.31275720164609			
