	onset	duration	trial_type	body_site	temp
0	5.379969600122422	12.000598700000001	3.0	Right Arm	40.0
1	17.414518099976704	12.032561399999999	6.0	Right Leg	
2	29.41519939992577	5.999259300000002	4.0	Right Leg	40.0
3	35.447992800036445	12.030319299999995	5.0	Right Arm	
4	47.44847290008329	5.9997592	1.0	Right Arm	46.0
5	53.44817509991117	5.998588000000005	7.0		
6	59.44863609992899	5.9988315999999955	3.0	Right Arm	40.0
7	65.44901480013505	11.998964	5.0	Right Arm	
8	77.46486259996891	12.014489299999994	6.0	Right Leg	
9	89.46547110006213	5.99832330000001	4.0	Right Leg	40.0
10	95.46544159995392	11.998472300000003	6.0	Right Leg	
11	107.46577490004711	5.998193700000002	3.0	Right Arm	40.0
12	113.46547880000435	11.999415599999992	6.0	Right Leg	
13	125.46544810011983	5.998593799999995	4.0	Right Leg	40.0
14	131.48172989999875	12.014896399999998	5.0	Right Arm	
15	143.4821999000851	5.997910999999988	4.0	Right Leg	40.0
16	149.48232630011626	5.999063100000001	7.0		
17	155.48342499998398	6.013404699999995	2.0	Right Leg	46.0
18	161.49943810002878	5.999674499999998	7.0		
19	167.4995387000963	5.998908	3.0	Right Arm	40.0
20	173.49965219991282	11.999073999999979	5.0	Right Arm	
21	185.49961440009065	5.999745600000011	2.0	Right Leg	46.0
22	191.5155045001302	12.014680599999991	6.0	Right Leg	
23	203.51640770002268	5.998419400000017	4.0	Right Leg	40.0
24	209.51611440000124	12.000194599999986	6.0	Right Leg	
25	221.51387470006011	5.9973202000000185	1.0	Right Arm	46.0
26	227.51605259999633	5.99877410000002	7.0		
27	233.51629250007682	5.99887099999998	1.0	Right Arm	46.0
28	239.5161914001219	11.998207500000007	6.0	Right Leg	
29	251.516376900021	5.998315200000036	2.0	Right Leg	46.0
30	257.5163195000496	5.998678499999983	7.0		
31	263.51679100003093	5.9990583000000015	1.0	Right Arm	46.0
32	269.53295210003853	12.015037500000005	5.0	Right Arm	
33	281.53353110002354	5.999114700000007	3.0	Right Arm	40.0
34	287.54963389993645	12.014616499999988	6.0	Right Leg	
35	299.55010770005174	5.998809200000039	2.0	Right Leg	46.0
36	305.56635470013134	12.015443699999992	5.0	Right Arm	
37	317.56675260001794	5.998331500000006	1.0	Right Arm	46.0
38	Valence Rating:	-82.0			
39	Intensity Rating:	40.0			
40	Comfort Rating:	-49.0			
