	onset	duration	trial_type	body_site	temp
0	4625.93453139998	12.0	1.0	Left Leg	49.0
1	4644.035137999803	12.0	5.0	Left Leg	
2	4660.035107199568	12.0	2.0	Left Leg	40.0
3	4677.968723399565	12.0	6.0	Left Leg	
4	4693.968746299855	12.0	3.0	Left Leg	49.0
5	4711.518818199635	12.0	5.0	Left Leg	
6	4727.5189906996675	12.0	1.0	Left Leg	49.0
7	4745.035900999792	12.0	7.0		
8	4761.035898000002	12.0	2.0	Left Leg	40.0
9	4778.469155699946	12.0	6.0	Left Leg	
10	4794.469490499701	12.0	1.0	Left Leg	49.0
11	4811.936344599817	12.0	7.0		
12	4827.936393099837	12.0	1.0	Left Leg	49.0
13	4845.403141199611	12.0	6.0	Left Leg	
14	4861.403315600008	12.0	4.0	Left Leg	40.0
15	4878.869794699829	12.0	6.0	Left Leg	
16	4894.870249499567	12.0	2.0	Left Leg	40.0
17	4912.337155499961	12.0	5.0	Left Leg	
18	4928.337151899934	12.0	3.0	Left Leg	49.0
19	4945.804018799681	12.0	7.0		
20	4961.804051099811	12.0	2.0	Left Leg	40.0
21	4979.254221899901	12.0	7.0		
22	4995.254311800003	12.0	4.0	Left Leg	40.0
23	5012.687861499842	12.0	5.0	Left Leg	
24	5028.687884700019	12.0	4.0	Left Leg	40.0
25	5046.171424199827	12.0	6.0	Left Leg	
26	5062.171450799797	12.0	3.0	Left Leg	49.0
27	5079.621684799902	12.0	6.0	Left Leg	
28	5095.621713999659	12.0	4.0	Left Leg	40.0
29	5111.621904199943	12.0	6.0	Left Leg	
30	5129.088676599786	12.0	5.0	Left Leg	
31	5145.088739299681	12.0	3.0	Left Leg	49.0
32	5162.555644899607	12.0	7.0		
33	5178.555664799642	12.0	1.0	Left Leg	49.0
34	5196.039214799646	12.0	5.0	Left Leg	
35	5212.039222399704	12.0	4.0	Left Leg	40.0
36	5229.489447099622	12.0	6.0	Left Leg	
37	5245.489489799831	12.0	3.0	Left Leg	49.0
38	Valence Rating:	-39.67078189300411			
39	Intensity Rating:	50.0			
40	Comfort Rating:	36.831275720164605				
