	onset	duration	trial_type	body_site	temp
0	7988.645023799967	12.994863699999769	4.0		
1	8001.644483399577	12.999102100000528	1.0	Left Face	48.0
2	8014.661231599748	13.017706999999973	3.0	Left Face	
3	8028.278102199547	13.000580400000217	3.0	Left Face	
4	8041.278096499853	12.999783299999763	1.0	Left Face	48.0
5	8054.411591699813	13.000889499999175	4.0		
6	8067.411653199699	12.999059599999782	2.0	Left Face	37.0
7	8080.578518899623	13.00487350000003	3.0	Left Face	
8	8093.578513199929	13.000973499999418	1.0	Left Face	48.0
9	8106.5786735997535	13.000671899999361	3.0	Left Face	
10	8119.728628399782	12.997149399999216	3.0	Left Face	
11	8132.72880859999	13.000114600000416	2.0	Left Face	37.0
12	8145.878478699829	12.994702599999982	3.0	Left Face	
13	8158.879010899924	13.000294600000416	2.0	Left Face	37.0
14	8171.879103799816	12.999494300000151	4.0		
15	8185.6126532997005	13.002830699999322	3.0	Left Face	
16	8198.612629099749	12.999710099998993	1.0	Left Face	48.0
17	8211.612746899948	12.99916729999859	4.0		
18	8225.24641059991	12.994580099999439	4.0		
19	8238.246276199818	12.999699199999668	1.0	Left Face	48.0
20	8251.246379099786	12.999163899999985	4.0		
21	8264.91320369998	13.002043799999228	4.0		
22	8277.913246799726	13.001284900001338	2.0	Left Face	37.0
23	8291.546544899698	12.99334540000018	4.0		
24	8304.546777699608	13.000592700000198	1.0	Left Face	48.0
25	8317.546898099594	12.99667750000117	4.0		
26	8330.546968499664	12.99982590000036	2.0	Left Face	37.0
27	8343.547056199983	13.000390900000639	4.0		
28	8357.213926799595	12.991753199999948	4.0		
29	8370.213932799641	12.999847600000066	2.0	Left Face	37.0
30	8383.21406849986	13.000727299999198	3.0	Left Face	
31	8396.347482299898	12.993682199999967	4.0		
32	8409.347552399617	12.99908570000116	1.0	Left Face	48.0
33	8422.364356499631	13.003374500000064	3.0	Left Face	
34	8435.364441399928	13.000828999998703	1.0	Left Face	48.0
35	8448.547966999933	12.997211599998991	3.0	Left Face	
36	8461.5479758	12.999503400000322	2.0	Left Face	37.0
37	8474.698127899785	13.003340999999637	3.0	Left Face	
38	8487.698121399619	13.001539599999887	2.0	Left Face	37.0
39	8500.698320699856	12.999497699998756	3.0	Left Face	
40	Valence Rating:	31.275720164609055			
41	Intensity Rating:	16.584362139917697			
42	Comfort Rating:	71.23456790123456			
