	onset	duration	trial_type	body_site	temp
0	3583.8192230002023	13.01543860000038	3.0	Abdomen	
1	3596.8192952000536	12.99879239999973	1.0	Abdomen	46.5
2	3609.8194987000898	13.000340699999924	3.0	Abdomen	
3	3622.986273200251	12.999423599999773	4.0		
4	3635.986254800111	12.99949080000033	2.0	Abdomen	43.5
5	3649.119910799898	12.997798399999738	3.0	Abdomen	
6	3662.1198113001883	12.999507900000026	1.0	Abdomen	46.5
7	3675.319983900059	12.998099100000218	3.0	Abdomen	
8	3688.319990800228	13.000136600000133	2.0	Abdomen	43.5
9	3701.470177900046	13.000737699999718	4.0		
10	3714.4702105000615	12.999807000000146	1.0	Abdomen	46.5
11	3727.670440299902	12.999823699999979	3.0	Abdomen	
12	3740.6704035000876	13.000153999999839	1.0	Abdomen	46.5
13	3753.670513600111	12.999071899999763	4.0		
14	3766.820658800192	13.000352999999905	3.0	Abdomen	
15	3779.8207205999643	13.000510500000019	2.0	Abdomen	43.5
16	3793.4709328999743	13.005635299999994	4.0		
17	3806.470931699965	13.001115200000186	2.0	Abdomen	43.5
18	3819.4710226999596	13.000010999999631	4.0		
19	3832.62115170015	13.004310700000133	3.0	Abdomen	
20	3845.6212411001325	13.001145599999745	1.0	Abdomen	46.5
21	3858.721407600213	12.998005599999942	4.0		
22	3871.7214460000396	12.99985310000011	1.0	Abdomen	46.5
23	3884.721527500078	12.999285500000042	4.0		
24	3897.8884095000103	12.99864340000022	4.0		
25	3910.8883859002963	12.999834300000202	2.0	Abdomen	43.5
26	3923.888518900145	12.999623600000177	3.0	Abdomen	
27	3937.021976900287	12.997007099999792	4.0		
28	3950.022045900114	13.000505299999986	2.0	Abdomen	43.5
29	3963.155556499958	13.00119790000008	4.0		
30	3976.1555730002	13.000989699999991	1.0	Abdomen	46.5
31	3989.3557816999964	13.000995500000045	3.0	Abdomen	
32	4002.3557859999128	12.998997099999997	2.0	Abdomen	43.5
33	4015.9893519002944	13.001897099999951	4.0		
34	4028.989322199952	13.001326699999936	1.0	Abdomen	46.5
35	4042.18952600006	13.002542000000176	4.0		
36	4055.189486599993	13.001318300000094	2.0	Abdomen	43.5
37	4068.323027800303	13.006274699999722	4.0		
38	4081.3230584999546	13.001474300000154	1.0	Abdomen	46.5
39	4094.3232370000333	13.000232900000356	3.0	Abdomen	
40	4107.4900128999725	13.00453970000035	3.0	Abdomen	
41	4120.490060000215	13.001759700000548	2.0	Abdomen	43.5
42	4133.490182999987	12.999693600000683	3.0	Abdomen	
43	4147.05799560016	12.994736999999986	3.0	Abdomen	
44	4160.057023399975	12.999192199999925	1.0	Abdomen	46.5
45	4173.257200200111	13.006720100000166	3.0	Abdomen	
46	4186.257243300322	13.001731400000608	2.0	Abdomen	43.5
47	4199.257331599947	12.999195899999904	4.0		
48	Valence Rating:	0.0			
49	Intensity Rating:	50.0			
50	Comfort Rating:	71.48148148148148			
