	onset	duration	trial_type	body_site	temp
0	2.791435700026341	2.000012900098227	3-cue	Right Leg	
1	4.791448600124568	10.998117493116297	3-trial	Right Leg	
2	15.790163700003177	13.008908850024454	1	Right Leg	47.0
3	28.78933240007609	1.9821100999834016	3-cue	Right Leg	
4	30.771442500059493	11.011980450013652	3-trial	Right Leg	
5	41.77368750004098	13.008914849953726	2	Right Leg	36.0
6	54.773195400019176	13.010124549968168	4		
7	67.77258670004085	13.01156644988805	1	Right Leg	47.0
8	80.77259130007587	13.011744349845685	4		
9	93.7733806000324	1.9831198999891058	3-cue	Right Leg	
10	95.7565005000215	11.010571049991995	3-trial	Right Leg	
11	106.75775720004458	13.00848874996882	1	Right Leg	47.0
12	119.75721510010771	13.009775549988262	4		
13	132.75666520011146	13.011123350006528	1	Right Leg	47.0
14	145.75748800009023	1.9834106999915093	3-cue	Right Leg	
15	147.74089870008174	11.009599449927919	3-trial	Right Leg	
16	158.74073780002072	13.010032849968411	2	Right Leg	36.0
17	171.74106690008193	1.9821066000731662	3-cue	Right Leg	
18	173.7231735001551	11.010838749818504	3-trial	Right Leg	
19	184.72506520000752	13.008468850050122	4		
20	197.72365970001556	13.011487249983475	1	Right Leg	47.0
21	210.72408360010013	1.9833441999508068	3-cue	Right Leg	
22	212.70742780005094	11.01086194999516	3-trial	Right Leg	
23	223.70918900007382	13.007534949923865	4		
24	236.70769970002584	13.010715749929659	2	Right Leg	36.0
25	249.70769090007525	13.010835250024684	4		
26	262.70844120008405	1.9833231000229716	3-cue	Right Leg	
27	264.691764300107	11.009536049910821	3-trial	Right Leg	
28	275.6918420000002	13.009699449990876	2	Right Leg	36.0
29	288.6917193001136	13.010173149988987	4		
30	301.69223820010666	13.009340850054286	4		
31	314.6917537000263	13.010522949974984	2	Right Leg	36.0
32	327.6925082000671	1.9826840000459924	3-cue	Right Leg	
33	329.6751922001131	11.009865449857898	3-trial	Right Leg	
34	340.6758768000873	13.009224149980582	2	Right Leg	36.0
35	353.6752744000405	13.010651649907231	4		
36	366.67476330010686	13.012018750072457	2	Right Leg	36.0
37	379.6762770001078	13.00919635000173	4		
38	392.6757777000312	13.010393749922514	1	Right Leg	47.0
39	405.67654750007205	1.9833794999867678	3-cue	Right Leg	
40	407.6599270000588	11.009020949946716	3-trial	Right Leg	
41	418.6599073000252	13.009250049944967	1	Right Leg	47.0
42	431.65924390009604	1.98321659991052	3-cue	Right Leg	
43	433.64246050000656	11.010914950049482	3-trial	Right Leg	
44	444.64454280002974	1.9826874999562278	3-cue	Right Leg	
45	446.62723029998597	11.007660249946639	3-trial	Right Leg	
46	457.62700450001284	13.00897145003546	1	Right Leg	47.0
47	470.6258328000549	13.011518449988216	4		
48	483.62636780005414	13.010724649997428	4		
49	496.6268743000692	13.009945049881935	2	Right Leg	36.0
50	509.62724570010323	1.9833513000048697	3-cue	Right Leg	
51	511.6105970001081	11.009330449975096	3-trial	Right Leg	
52	Valence Rating:	-9.382716049382722			
53	Intensity Rating:	23.88888888888889			
54	Comfort Rating:	55.925925925925924			
