	onset	duration	trial_type	body_site	temp
0	914.9266748996451	13.034109199999989	3.0	Left Arm	
1	927.9273580997251	12.998178999999936	2.0	Left Arm	40.5
2	940.9271469996311	13.000306300000034	3.0	Left Arm	
3	953.9271021997556	12.998888899999997	4.0		
4	966.9270823998377	12.999640999999997	2.0	Left Arm	40.5
5	979.9269783999771	13.001844600000027	3.0	Left Arm	
6	992.9274901999161	12.998049900000069	3.0	Left Arm	
7	1005.9274879996665	12.999167499999999	1.0	Left Arm	46.5
8	1018.9272850998677	13.00060950000011	3.0	Left Arm	
9	1031.9276962997392	12.998931599999878	1.0	Left Arm	46.5
10	1044.9277269998565	13.000025399999913	3.0	Left Arm	
11	1057.9278691997752	12.999684800000068	4.0		
12	1070.9278611997142	12.998959199999945	2.0	Left Arm	40.5
13	1083.9278147998266	13.000214400000004	3.0	Left Arm	
14	1096.92789779976	12.998893800000133	2.0	Left Arm	40.5
15	1109.9280119999312	13.000769499999933	3.0	Left Arm	
16	1122.9280146998353	12.998313899999857	1.0	Left Arm	46.5
17	1135.9289237996563	13.000418300000092	3.0	Left Arm	
18	1148.9281428996474	12.998121900000115	1.0	Left Arm	46.5
19	1161.9286027997732	13.000758100000212	4.0		
20	1174.9289509998634	12.998743699999977	4.0		
21	1187.928812999744	12.99938700000007	1.0	Left Arm	46.5
22	1200.9289585999213	13.000444900000048	3.0	Left Arm	
23	1213.9290696997195	12.999221799999987	2.0	Left Arm	40.5
24	1226.9290781999007	12.999878300000091	4.0		
25	1239.9301499999128	12.99872460000006	4.0		
26	1252.929314899724	13.000712099999873	2.0	Left Arm	40.5
27	1265.9304700996727	12.998710099999926	4.0		
28	1278.9295032997616	12.999530100000129	2.0	Left Arm	40.5
29	1291.9295921996236	13.000142399999959	4.0		
30	1304.9302942999639	12.999441199999865	4.0		
31	1317.9298089998774	12.999652200000128	1.0	Left Arm	46.5
32	1330.9301849999465	13.000324599999885	3.0	Left Arm	
33	1343.9300985997543	12.999384199999895	4.0		
34	1356.9301181999035	12.999696399999948	1.0	Left Arm	46.5
35	1369.9302403996699	12.999711299999944	4.0		
36	1382.9303386998363	12.999118599999974	4.0		
37	1395.9304227996618	13.000064299999849	1.0	Left Arm	46.5
38	1408.9314862000756	13.000425499999892	3.0	Left Arm	
39	1421.930549599696	12.99818950000008	2.0	Left Arm	40.5
40	Valence Rating:	-13.209876543209873			
41	Intensity Rating:	50.0			
42	Comfort Rating:	44.44444444444444			
