	onset	duration	trial_type	body_site	temp
0	2.7898378999670967	1.983082800055854	3-cue	Abdomen	
1	4.772920700022951	11.00680589408148	3-trial	Abdomen	
2	15.781109099974856	13.007694369996898	2	Abdomen	40.0
3	28.779456199961714	13.011173869948834	4		
4	41.77952089998871	13.011294369935058	4		
5	54.79455460002646	13.01476006989833	1	Abdomen	46.5
6	67.79632940003648	1.9826229000464082	3-cue	Abdomen	
7	69.77895230008289	11.012136069941334	3-trial	Abdomen	
8	80.78154620004352	13.007862569997087	4		
9	93.77998760004994	13.01115806994494	1	Abdomen	46.5
10	106.78051579999737	13.010314170038328	4		
11	119.77997909998521	13.011604269966483	2	Abdomen	40.0
12	132.78037609998137	1.9832616000203416	3-cue	Abdomen	
13	134.7636377000017	11.011112369829789	3-trial	Abdomen	
14	145.7654620000394	13.007739169988781	4		
15	158.76412319997326	13.01061497000046	1	Abdomen	46.5
16	171.76359149999917	13.011895669973455	4		
17	184.76432650000788	1.9832625000271946	3-cue	Abdomen	
18	186.74758900003508	11.010689469985664	3-trial	Abdomen	
19	197.74873009999283	13.00870297010988	2	Abdomen	40.0
20	210.74840070004575	1.9834977000718936	3-cue	Abdomen	
21	212.73189840011764	11.009371969848871	3-trial	Abdomen	
22	223.73172989999875	13.009751669946127	2	Abdomen	40.0
23	236.7319876999827	1.982164700049907	3-cue	Abdomen	
24	238.71415240003262	11.010639269952662	3-trial	Abdomen	
25	249.71633760002442	1.9829689000034705	3-cue	Abdomen	
26	251.6993065000279	11.007992569939233	3-trial	Abdomen	
27	262.69946210004855	13.00825796998106	1	Abdomen	46.5
28	275.6987293000566	1.9831748999422416	3-cue	Abdomen	
29	277.6819041999988	11.0101028700592	3-trial	Abdomen	
30	288.6831701999763	1.9833501999964938	3-cue	Abdomen	
31	290.6665203999728	11.007914670044556	3-trial	Abdomen	
32	301.6665351999691	13.008067169925198	1	Abdomen	46.5
33	314.665707499953	1.9829505999805406	3-cue	Abdomen	
34	316.6486580999335	11.010318469954655	3-trial	Abdomen	
35	327.65007620002143	13.008060669992119	1	Abdomen	46.5
36	340.649862500024	1.9829993000021204	3-cue	Abdomen	
37	342.63286180002615	11.009039969998412	3-trial	Abdomen	
38	353.63357800000813	13.008149270084687	2	Abdomen	40.0
39	366.63306749996264	13.00937076995615	4		
40	379.63252260000445	13.01060246990528	2	Abdomen	40.0
41	392.6327034999849	13.010432569892146	4		
42	405.6326156000141	13.010899670072831	4		
43	418.6331449999707	13.010054069920443	1	Abdomen	46.5
44	431.6331449999707	13.01027146994602	4		
45	444.6326164000202	13.01152636995539	2	Abdomen	40.0
46	457.63336810003966	1.9829261000268161	3-cue	Abdomen	
47	459.6162942000665	11.010641469852999	3-trial	Abdomen	
48	470.6172516000224	13.009351670043543	1	Abdomen	46.5
49	483.61617679998744	13.011671569896862	4		
50	496.61732449999545	13.009604569990188	4		
51	509.61664070002735	13.011181469890289	2	Abdomen	40.0
52	Valence Rating:	-3.209876543209873			
53	Intensity Rating:	20.864197530864196			
54	Comfort Rating:	59.19753086419753			
